stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1311,1311,Teatre Flumen,,4373653.735,724905.553,,,0,
1318,1318,Molinell (parell) - Alboraia,,4373896.284,726213.713,,,0,
1319,1319,Corts Valencianes - Palau de Congressos,,4374842.065,723422.522,,,0,
1320,1320,Camp de Túria (parell) - Corts Valencianes,,4374852.347,723234.059,,,0,
1321,1321,Camp de Túria (imparell) - Corts Valencianes,,4374808.343,723289.846,,,0,
1326,1326,Ciutat de l'Artista Faller,,4375558.491,724151.964,,,0,
1329,1329,Palmaret - Montcada,,4377490.789,724678.554,,,0,
1330,1330,Florista,,4375007.324,723795.225,,,0,
1331,1331,Florista - Carrasqueta,,4374841.079,723905.371,,,0,
1332,1332,Garbí,,4374613.382,724099.118,,,0,
1333,1333,Bon Recés - Florista,,4374447.727,724241.217,,,0,
1348,1348,Dr. Nicasi Benlloch - Emili Nadal,,4374276.545,724261.113,,,0,
1349,1349,Sant Vicent Màrtir - Mossén Febrer,,4370087.314,725002.539,,,0,
135,135,Sants Just i Pastor - Humanista Furió,,4372185.042,728371.907,,,0,
1350,1350,Sant Vicent Màrtir - Almudaina,,4370312.297,725048.289,,,0,
1352,1352,la Plata - Alberola,,4370494.115,726334.881,,,0,
1353,1353,la Plata - Ausiàs March,,4370365.741,726116.631,,,0,
1354,1354,Poliesportiu Malilla,,4370210.969,725911.931,,,0,
1355,1355,Oltà - Ausiàs March,,4370357.517,725951.741,,,0,
1356,1356,la Plata - Fonteta Sant Lluís,,4370334.068,726138.231,,,0,
1357,1357,Parc central de Bombers,,4370477.934,726389.641,,,0,
136,136,Sants Just i Pastor - Lleons,,4372264.982,728131.123,,,0,
1361,1361,La Carrasca,,4373400.547,728381.962,,,0,
1362,1362,Tomàs Montañana - Albereda,,4371286.201,727699.942,,,0,
1363,1363,Regne de València (imparell) - Alcalde Reig,,4371418.699,727020.897,,,0,
1364,1364,Regne de València (parell) - Alcalde Reig,,4371378.341,727049.418,,,0,
1365,1365,Tomàs Montañana - França,,4371288.736,727741.88,,,0,
1366,1366,La Llum,,4371948.433,722185.954,,,0,
